day,first_purchases,cumulative
2015-05-28,73,73
2015-05-29,186,259
2015-05-30,239,498
2015-05-31,268,766
2015-06-01,225,991
2015-06-02,247,1238
2015-06-03,263,1501
2015-06-04,258,1759
2015-06-05,266,2025
2015-06-06,244,2269
2015-06-07,255,2524
2015-06-08,193,2717
2015-06-09,144,2861
2015-06-10,151,3012
2015-06-11,180,3192
2015-06-12,164,3356
2015-06-13,173,3529
2015-06-14,145,3674
2015-06-15,139,3813
2015-06-16,140,3953
2015-06-17,116,4069
2015-06-18,138,4207
2015-06-19,126,4333
2015-06-20,182,4515
2015-06-21,141,4656
2015-06-22,122,4778
2015-06-23,99,4877
2015-06-24,99,4976
2015-06-25,94,5070
2015-06-26,100,5170
