day,daily_installs,cumulative
2015-05-28,34557,34557
2015-05-29,69973,104530
2015-05-30,61680,166210
2015-05-31,44459,210669
2015-06-01,34059,244728
2015-06-02,33330,278058
2015-06-03,36613,314671
2015-06-04,29513,344184
2015-06-05,22122,366306
2015-06-06,21429,387735
2015-06-07,16509,404244
2015-06-08,15231,419475
2015-06-09,13262,432737
2015-06-10,11940,444677
2015-06-11,9440,454117
2015-06-12,9660,463777
2015-06-13,11169,474946
2015-06-14,10641,485587
2015-06-15,8982,494569
2015-06-16,9208,503777
2015-06-17,8436,512213
2015-06-18,6060,518273
2015-06-19,6442,524715
2015-06-20,7620,532335
2015-06-21,6267,538602
2015-06-22,5225,543827
2015-06-23,4771,548598
2015-06-24,5075,553673
2015-06-25,5392,559065
2015-06-26,5716,564781
2015-06-27,115,564896
